university_id,university_name,url
79,University Of Birmingham,https://nominatim.openstreetmap.org/search.php?q=University%20Of%20Birmingham%20Birmingham%20UK&format=geojson&addressdetails=1&limit=1
80,University Of Southampton,https://nominatim.openstreetmap.org/search.php?q=University%20Of%20Southampton%20Southampton%20UK&format=geojson&addressdetails=1&limit=1
81,The University Of Adelaide,https://nominatim.openstreetmap.org/search.php?q=The%20University%20Of%20Adelaide%20Adelaide%20AU&format=geojson&addressdetails=1&limit=1
82,University Of Leeds,https://nominatim.openstreetmap.org/search.php?q=University%20Of%20Leeds%20Leeds%20UK&format=geojson&addressdetails=1&limit=1
83,Ruprecht-Karls-Universität Heidelberg,https://nominatim.openstreetmap.org/search.php?q=Ruprecht-Karls-Universit%C3%A4t%20Heidelberg%20Heidelberg%20DE&format=geojson&addressdetails=1&limit=1
84,Tokyo Institute Of Technology (Tokyo Tech),https://nominatim.openstreetmap.org/search.php?q=Tokyo%20Institute%20Of%20Technology%20%20Tokyo%20JP&format=geojson&addressdetails=1&limit=1
85,Osaka University,https://nominatim.openstreetmap.org/search.php?q=Osaka%20University%20Osaka%20JP&format=geojson&addressdetails=1&limit=1
86,"Trinity College Dublin, The University Of Dublin",https://nominatim.openstreetmap.org/search.php?q=Trinity%20College%20Dublin%2C%20The%20University%20Of%20Dublin%20Dublin%20IE&format=geojson&addressdetails=1&limit=1
87,University Of Technology Sydney,https://nominatim.openstreetmap.org/search.php?q=University%20Of%20Technology%20Sydney%20Sydney%20AU&format=geojson&addressdetails=1&limit=1
88,Durham University,https://nominatim.openstreetmap.org/search.php?q=Durham%20University%20Durham%20UK&format=geojson&addressdetails=1&limit=1
89,Pennsylvania State University,https://nominatim.openstreetmap.org/search.php?q=Pennsylvania%20State%20University%20State%20College%20US&format=geojson&addressdetails=1&limit=1
90,Purdue University,https://nominatim.openstreetmap.org/search.php?q=Purdue%20University%20West%20Lafayette%20US&format=geojson&addressdetails=1&limit=1
91,Universidade De São Paulo,https://nominatim.openstreetmap.org/search.php?q=Universidade%20De%20S%C3%A3o%20Paulo%20Lausanne%20BR&format=geojson&addressdetails=1&limit=1
92,Pontificia Universidad Católica De Chile (Uc),https://nominatim.openstreetmap.org/search.php?q=Pontificia%20Universidad%20Cat%C3%B3lica%20De%20Chile%20%20Santiago%20CL&format=geojson&addressdetails=1&limit=1
93,Lomonosov Moscow State University,https://nominatim.openstreetmap.org/search.php?q=Lomonosov%20Moscow%20State%20University%20Lomonosov%20RU&format=geojson&addressdetails=1&limit=1
94,Universidad Nacional Autónoma De México (Unam),https://nominatim.openstreetmap.org/search.php?q=Universidad%20Nacional%20Aut%C3%B3noma%20De%20M%C3%A9xico%20%20Brussels%20MX&format=geojson&addressdetails=1&limit=1
95,University Of Alberta,https://nominatim.openstreetmap.org/search.php?q=University%20Of%20Alberta%20Edmonton%20CA&format=geojson&addressdetails=1&limit=1
96,Freie Universitaet Berlin,https://nominatim.openstreetmap.org/search.php?q=Freie%20Universitaet%20Berlin%20Berlin%20DE&format=geojson&addressdetails=1&limit=1
97,Pohang University Of Science And Technology (Postech),https://nominatim.openstreetmap.org/search.php?q=Pohang%20University%20Of%20Science%20And%20Technology%20%20Pohang%20KR&format=geojson&addressdetails=1&limit=1
98,Rwth Aachen University,https://nominatim.openstreetmap.org/search.php?q=Rwth%20Aachen%20University%20Aachen%20DE&format=geojson&addressdetails=1&limit=1
99,University Of Copenhagen,https://nominatim.openstreetmap.org/search.php?q=University%20Of%20Copenhagen%20Copenhagen%20DK&format=geojson&addressdetails=1&limit=1
100,King Fahd University Of Petroleum & Minerals,https://nominatim.openstreetmap.org/search.php?q=King%20Fahd%20University%20Of%20Petroleum%20%26%20Minerals%20Dhahran%20SA&format=geojson&addressdetails=1&limit=1
101,"Kit, Karlsruhe Institute Of Technology",https://nominatim.openstreetmap.org/search.php?q=Kit%2C%20Karlsruhe%20Institute%20Of%20Technology%20Karlsruhe%20DE&format=geojson&addressdetails=1&limit=1
102,Uppsala University,https://nominatim.openstreetmap.org/search.php?q=Uppsala%20University%20Uppsala%20SE&format=geojson&addressdetails=1&limit=1
103,University Of St Andrews,https://nominatim.openstreetmap.org/search.php?q=University%20Of%20St%20Andrews%20St%20Andrews%20UK&format=geojson&addressdetails=1&limit=1
104,The University Of Sheffield,https://nominatim.openstreetmap.org/search.php?q=The%20University%20Of%20Sheffield%20Sheffield%20UK&format=geojson&addressdetails=1&limit=1
105,Utrecht University,https://nominatim.openstreetmap.org/search.php?q=Utrecht%20University%20Utrecht%20NL&format=geojson&addressdetails=1&limit=1
106,Tohoku University,https://nominatim.openstreetmap.org/search.php?q=Tohoku%20University%20Sendai%20JP&format=geojson&addressdetails=1&limit=1
107,University Of Nottingham,https://nominatim.openstreetmap.org/search.php?q=University%20Of%20Nottingham%20Nottingham%20UK&format=geojson&addressdetails=1&limit=1
108,Technical University Of Denmark,https://nominatim.openstreetmap.org/search.php?q=Technical%20University%20Of%20Denmark%20Lyngby%20DK&format=geojson&addressdetails=1&limit=1
109,University Of Zurich,https://nominatim.openstreetmap.org/search.php?q=University%20Of%20Zurich%20Zurich%20CH&format=geojson&addressdetails=1&limit=1
110,Politecnico Di Milano,https://nominatim.openstreetmap.org/search.php?q=Politecnico%20Di%20Milano%20Pisa%20IT&format=geojson&addressdetails=1&limit=1
111,Boston University,https://nominatim.openstreetmap.org/search.php?q=Boston%20University%20Boston%20US&format=geojson&addressdetails=1&limit=1
112,Aalto University,https://nominatim.openstreetmap.org/search.php?q=Aalto%20University%20Espoo%20FI&format=geojson&addressdetails=1&limit=1
113,Georgia Institute Of Technology,https://nominatim.openstreetmap.org/search.php?q=Georgia%20Institute%20Of%20Technology%20Atlanta%20US&format=geojson&addressdetails=1&limit=1
114,University Of Waterloo,https://nominatim.openstreetmap.org/search.php?q=University%20Of%20Waterloo%20Waterloo%20CA&format=geojson&addressdetails=1&limit=1
115,University Of Wisconsin-Madison,https://nominatim.openstreetmap.org/search.php?q=University%20Of%20Wisconsin-Madison%20Madison%20US&format=geojson&addressdetails=1&limit=1
116,University Of Helsinki,https://nominatim.openstreetmap.org/search.php?q=University%20Of%20Helsinki%20Helsinki%20FI&format=geojson&addressdetails=1&limit=1
117,Indian Institute Of Technology Bombay (Iitb),https://nominatim.openstreetmap.org/search.php?q=Indian%20Institute%20Of%20Technology%20Bombay%20%20Bombay%20IN&format=geojson&addressdetails=1&limit=1
118,University Of Oslo,https://nominatim.openstreetmap.org/search.php?q=University%20Of%20Oslo%20Oslo%20NO&format=geojson&addressdetails=1&limit=1
119,Queen Mary University Of London,https://nominatim.openstreetmap.org/search.php?q=Queen%20Mary%20University%20Of%20London%20London%20UK&format=geojson&addressdetails=1&limit=1
120,Western University,https://nominatim.openstreetmap.org/search.php?q=Western%20University%20London%20CA&format=geojson&addressdetails=1&limit=1
121,Qatar University,https://nominatim.openstreetmap.org/search.php?q=Qatar%20University%20Doha%20QA&format=geojson&addressdetails=1&limit=1
