Rank,Country,Cost of Living Index,Rent Index,Cost of Living Plus Rent Index,Groceries Index,Restaurant Price Index,Local Purchasing Power Index,Year
64,Malaysia,54.9,12.8,39.7,53.7,31.1,74.1,2012
65,Iran,54.8,25.2,44.2,53.9,42.2,46.2,2012
66,Tunisia,54.5,9.9,38.4,45.7,40.4,32.4,2012
67,Panama,54.0,25.3,43.7,48.9,37.7,40.9,2012
68,Mongolia,53.9,24.0,43.1,57.9,37.8,22.6,2012
69,Indonesia,51.4,17.2,39.1,57.9,30.1,18.3,2012
70,Ukraine,51.1,14.9,38.1,38.4,46.1,25.6,2012
71,Bulgaria,50.9,12.3,37.0,42.0,33.0,33.8,2012
72,Ecuador,50.8,12.4,37.0,46.6,29.0,26.0,2012
73,Bosnia And Herzegovina,50.8,8.4,35.5,41.1,39.6,44.4,2012
74,Serbia,50.5,11.9,36.6,36.5,40.3,31.3,2012
75,Syria,50.2,12.8,36.8,37.7,33.1,23.6,2012
76,Thailand,50.2,17.6,38.4,65.5,27.4,32.0,2012
77,Poland,49.7,16.9,37.9,39.4,38.4,59.2,2012
78,Egypt,49.6,16.0,37.5,43.4,44.8,28.2,2012
79,China,48.8,19.7,38.3,53.7,33.6,30.3,2012
80,Nicaragua,48.3,10.7,34.8,47.5,34.6,42.6,2012
81,Romania,47.9,12.2,35.0,39.8,35.3,34.3,2012
82,Moldova,47.8,12.3,35.0,38.6,40.3,27.6,2012
83,Belarus,45.6,10.6,33.0,33.8,52.8,23.6,2012
84,Nepal,44.3,4.9,30.1,36.1,30.2,24.5,2012
85,Philippines,43.6,11.0,31.9,43.1,23.8,29.0,2012
86,Vietnam,42.9,33.0,39.3,45.3,26.7,28.0,2012
87,North Macedonia,42.8,9.5,30.8,33.6,31.6,35.2,2012
88,Algeria,40.6,8.3,29.0,43.6,25.6,27.5,2012
89,Pakistan,36.2,6.8,25.6,31.5,29.1,28.3,2012
90,India,33.4,8.4,24.4,33.8,21.1,60.1,2012
1,Norway,173.8,69.0,123.5,162.5,183.3,95.9,2013
2,Switzerland,151.8,70.9,113.0,153.1,142.4,137.3,2013
3,Australia,133.7,72.7,104.4,128.7,116.4,103.0,2013
4,Luxembourg,124.8,67.7,97.4,111.8,130.8,121.4,2013
5,Denmark,119.9,42.9,83.0,104.0,130.5,102.1,2013
6,Japan,115.2,43.8,81.0,112.8,70.0,86.0,2013
7,Sweden,114.5,36.1,76.9,105.6,110.1,106.6,2013
8,New Zealand,113.6,46.1,81.2,111.7,93.5,80.6,2013
9,Bahrain,113.5,29.6,73.2,162.9,71.0,59.3,2013
10,Iceland,112.4,39.3,77.3,118.8,99.7,67.9,2013
11,Ireland,112.3,40.4,77.8,105.5,103.0,95.1,2013
12,Venezuela,111.0,41.5,77.6,126.4,93.6,16.6,2013
13,Belgium,108.0,39.2,75.0,90.1,115.6,94.1,2013
14,Finland,107.0,40.4,75.0,101.3,100.2,94.1,2013
15,Singapore,105.4,103.0,104.3,91.2,63.3,59.9,2013
16,Netherlands,103.9,45.7,76.0,81.1,107.7,92.9,2013
17,France,103.2,38.0,71.9,97.7,100.4,98.1,2013
18,United Kingdom,102.2,41.1,72.9,93.1,94.3,89.1,2013
19,Italy,101.4,36.2,70.1,87.3,107.4,70.4,2013
20,Canada,99.6,39.8,70.9,101.2,85.6,109.6,2013
21,Cyprus,98.6,25.0,63.3,89.3,101.2,72.5,2013
22,Austria,97.9,36.8,68.6,92.8,81.4,87.5,2013
23,Greece,92.6,18.6,57.1,74.7,95.5,49.4,2013
24,Israel,92.2,32.3,63.5,76.9,90.1,72.6,2013
25,Germany,91.6,33.2,63.6,80.7,79.7,117.6,2013
26,Nigeria,87.2,17.9,53.9,92.9,62.5,32.7,2013
27,Malta,85.6,20.6,54.4,73.7,77.6,77.8,2013
28,Spain,83.1,29.1,57.2,66.5,81.0,84.0,2013
29,Puerto Rico,82.6,25.0,54.9,83.5,65.0,94.1,2013
30,Qatar,82.4,84.1,83.2,75.0,78.8,136.7,2013
31,Slovenia,82.1,26.5,55.4,70.5,63.2,59.2,2013
32,Uruguay,81.7,26.1,55.0,70.5,75.7,37.6,2013
33,Kuwait,80.7,34.6,58.6,79.0,78.7,84.6,2013
34,United States,80.5,37.4,59.8,80.7,67.9,136.5,2013
35,South Korea,80.4,28.7,55.6,94.1,46.5,102.1,2013
36,Azerbaijan,78.2,41.9,60.8,67.9,64.8,20.5,2013
37,Hong Kong,77.8,88.6,83.0,79.8,54.5,80.3,2013
38,Lebanon,75.6,38.5,57.8,58.1,65.2,42.5,2013
39,United Arab Emirates,75.5,63.3,69.6,65.0,69.9,121.2,2013
40,Portugal,75.3,24.3,50.8,61.2,59.1,54.1,2013
41,Croatia,72.2,14.9,44.7,64.5,56.0,51.6,2013
42,Saudi Arabia,72.2,15.7,45.1,74.5,36.5,114.6,2013
43,Estonia,70.8,16.8,44.9,60.9,53.4,53.1,2013
44,Argentina,70.4,20.1,46.3,64.5,65.4,50.2,2013
45,Brazil,70.0,22.8,47.3,54.0,51.8,41.3,2013
46,Russia,69.7,29.4,50.3,56.9,73.6,43.0,2013
47,Chile,68.4,21.3,45.8,58.2,56.3,56.4,2013
48,Latvia,68.0,15.3,42.7,55.4,58.4,41.3,2013
49,Taiwan,67.8,20.5,45.1,80.0,31.7,73.0,2013
50,Costa Rica,66.6,20.9,44.7,71.8,54.7,45.6,2013
51,Dominican Republic,66.2,15.4,41.8,66.1,41.5,28.0,2013
52,Slovakia,65.7,24.5,45.9,56.2,44.5,53.8,2013
53,Jordan,65.5,15.6,41.6,56.8,56.4,36.2,2013
54,Kazakhstan,65.2,26.6,46.6,51.3,67.4,32.2,2013
55,Turkey,64.4,16.2,41.2,50.0,46.3,56.4,2013
56,Hungary,63.9,12.6,39.3,50.9,47.3,43.0,2013
57,Czech Republic,63.4,21.0,43.0,54.7,40.6,60.6,2013
58,Lithuania,63.3,16.2,40.7,55.4,42.0,42.2,2013
59,Montenegro,63.2,15.2,40.2,56.0,55.2,43.9,2013
60,China,61.8,25.8,44.5,66.4,36.5,37.3,2013
61,Trinidad And Tobago,61.6,30.6,46.7,55.8,48.4,44.3,2013
62,South Africa,60.2,21.4,41.6,52.9,49.8,105.3,2013
63,Ethiopia,59.9,24.3,42.8,62.5,26.1,11.5,2013
64,Colombia,58.4,14.0,37.1,52.8,38.3,29.7,2013
65,Iraq,57.2,18.0,38.4,50.9,46.2,33.7,2013
66,Iran,57.0,24.3,41.3,59.3,42.8,37.5,2013
67,Kenya,57.0,17.2,37.9,61.0,33.8,38.9,2013
68,Cambodia,55.8,9.2,33.4,64.3,24.5,15.5,2013
69,Poland,55.6,20.2,38.6,46.6,43.1,54.7,2013
70,Tanzania,54.9,13.9,35.2,59.2,24.9,66.0,2013
71,Malaysia,54.8,15.3,35.8,51.5,27.4,69.6,2013
72,Oman,54.6,27.5,41.6,51.4,39.8,129.2,2013
73,Mauritius,54.5,23.4,39.5,43.5,53.5,46.1,2013
74,Morocco,54.0,16.7,36.1,44.7,42.3,26.4,2013
75,Georgia,53.8,17.1,36.2,45.5,47.5,28.6,2013
76,Serbia,53.6,12.0,33.6,43.5,42.8,36.6,2013
77,Mexico,53.6,13.3,34.2,52.5,37.4,59.8,2013
78,Bosnia And Herzegovina,53.4,8.6,31.9,47.4,38.1,46.4,2013
79,Panama,53.4,28.3,41.3,58.8,36.3,37.5,2013
80,Bulgaria,52.7,12.4,33.3,46.9,38.8,37.7,2013
81,Romania,51.9,14.1,33.8,47.3,37.2,35.8,2013
82,Thailand,51.8,21.3,37.2,57.9,25.5,35.0,2013
83,Belarus,51.3,13.3,33.1,41.9,58.1,23.4,2013
84,Sri Lanka,50.6,14.5,33.3,55.0,29.7,27.2,2013
85,Tunisia,50.3,11.6,31.7,44.4,36.8,34.2,2013
86,Peru,48.8,15.5,32.8,42.6,31.2,45.3,2013
87,Albania,48.6,10.8,30.5,40.2,31.8,35.3,2013
88,Ukraine,48.6,14.7,32.3,41.5,43.5,32.0,2013
89,Philippines,48.0,10.9,30.2,51.2,26.9,25.7,2013
90,Syria,47.3,17.6,33.0,36.7,40.6,21.9,2013
91,Moldova,47.2,12.9,30.8,38.3,38.0,24.5,2013
92,Ecuador,46.6,12.9,30.4,48.2,26.4,25.5,2013
93,North Macedonia,46.5,10.7,29.3,38.4,33.2,34.9,2013
94,Indonesia,46.1,17.6,32.4,51.0,23.7,24.6,2013
95,Bangladesh,44.8,7.8,27.1,38.5,26.4,33.3,2013
96,Egypt,44.8,11.1,28.6,40.3,37.2,30.3,2013
97,Vietnam,43.2,20.8,32.4,41.8,23.7,31.9,2013
98,Bolivia,41.5,12.5,27.6,36.4,21.5,46.4,2013
99,Algeria,41.5,6.1,24.5,43.8,24.8,32.7,2013
100,Nepal,38.7,3.7,21.9,36.7,26.2,29.5,2013
101,Pakistan,33.4,6.1,20.3,32.1,25.3,26.0,2013
102,India,30.9,7.4,19.6,32.5,18.1,61.9,2013
1,Norway,144.4,58.9,102.9,135.5,165.9,94.4,2014
2,Switzerland,143.9,63.8,105.0,148.5,145.6,138.1,2014
3,Denmark,114.9,40.1,78.5,102.6,132.3,100.7,2014
4,Venezuela,114.4,39.6,78.0,132.1,96.2,17.9,2014
5,Iceland,111.8,41.1,77.4,121.1,106.1,59.5,2014
6,Luxembourg,109.9,64.1,87.7,97.1,126.5,115.3,2014
7,Australia,108.5,58.0,84.0,105.0,97.4,104.2,2014
8,Ireland,106.6,39.2,73.9,102.7,100.0,94.6,2014
9,New Zealand,104.5,42.4,74.3,104.5,90.1,87.6,2014
10,Sweden,103.7,33.8,69.7,100.4,103.8,106.1,2014
11,Bahamas,103.4,47.3,76.2,98.0,96.5,93.4,2014
12,Finland,103.3,35.3,70.3,100.4,103.2,97.9,2014
13,France,100.2,36.9,69.4,100.2,98.7,92.3,2014
14,United Kingdom,100.1,44.2,72.9,94.3,96.9,94.3,2014
15,Belgium,100.0,34.9,68.4,93.5,105.8,87.9,2014
16,Singapore,100.0,97.0,98.6,89.8,61.4,64.1,2014
17,Netherlands,98.8,40.9,70.7,78.0,115.2,97.5,2014
18,Italy,96.8,31.6,65.1,85.0,104.6,75.4,2014
19,Japan,94.1,35.5,65.7,97.6,58.8,99.6,2014
20,Israel,91.5,35.2,64.1,79.5,95.4,69.3,2014
21,Cyprus,89.8,20.9,56.3,82.4,94.5,65.2,2014
22,Austria,89.5,33.2,62.2,88.7,79.2,91.5,2014
23,Canada,87.9,35.7,62.5,94.6,78.8,105.5,2014
24,South Korea,87.6,37.6,63.3,106.5,51.8,80.6,2014
25,Germany,87.1,30.3,59.5,77.9,77.8,112.3,2014
26,Greece,83.8,15.1,50.4,70.5,84.8,44.3,2014
27,Malta,80.2,17.5,49.7,68.9,79.1,72.7,2014
